author,abstract,doi,publisher,keyword,references,title
"Barbara H. Liskov&&Department of Electrical Engineering and Computer SCience, Massachusetts Institute of Technology, Cambridge, Mass|Stephen N. Zilles&&IBM Corporation, San Jose, Calif|","Discusses the importance of formal specifications and surveys a number of promising specification techniques. The role of formal specifications both in proofs of program correctness and in programming methodologies leading to programs which are correct by construction, is explained. Some criteria are established for evaluating the practical potential of specification techniques. The importance of providing specifications at the right level of abstraction is discussed, and a particularly interesting class of specification techniques, those used to construct specifications of data abstractions, is identified. A number of specification techniques for describing data abstractions are surveyed and evaluated with respect to the criteria.",10.1109/TSE.1975.6312816,IEEE Transactions on Software Engineering,"Formal specifications,Programming,Software,Computers,Writing,Testing",,Specification techniques for data abstractions
"W. M. Mckeeman&&Department of Information Sciences, Universitv of California. Santa Cruz. Calif. 95064|","Wirth (1971) has proposed a method of `stepwise refinement' for writing computer programs. This paper proposes that the steps be expressed as proofs. A program for the eight queens problem is developed, and the proof method is applied across two of the steps of the development. The strengths and weaknesses of the method, and its implications for the programming process and programming language design are discussed.",10.1109/TSE.1975.6312817,IEEE Transactions on Software Engineering,"Arrays,Programming,Computer languages,Computers,Semantics,Educational institutions,Machinery",,On preventing programming languages from interfering with programming
"Carl E. Hewitt&&Artificial Intelligence Laboratory, Massachusetts Institute of Technology, Cambridge, MA, USA|Brian Smith&&Artificial Intelligence Laboratory, Massachusetts Institute of Technology, Cambridge, MA, USA|",The Planner Project is constructing a programming apprentice to assist in knowledge based programming. The programming apprentice is designed for interactive use by expert programmers in the meta-evaluation of implementations in the context of their contracts and background knowledge. Meta-evaluation produces a justification which makes explicit exactly how the module depends on the contracts of other modules and on the background knowledge. The justification is used in answering questions on the behavioral dependencies between modules and in analyzing the implications of perturbations in specifications and/or implementation.,10.1109/TSE.1975.6312818,IEEE Transactions on Software Engineering,"Contracts,Plasmas,Programming,Syntactics,Pattern matching,Computational modeling,Educational institutions",,Towards a programming apprentice
"J.R. McGraw&&Department of Applied Science, University of California,슠Davis, Livermore, CA, USA|G.R. Andrews&&Department of Computer Science, Cornell University, Ithaca, NY, USA|","An important component of a programming language for writing operating systems, or other large parallel systems, is the set of access control facilities. Two principles for access control, expressive power and access validation, are discussed. Then two new language mechanisms are presented: one for expressing the static structure and access rights of parallel systems, the other for controlling dynamic access to shared objects (monitors). The use of the proposed mechanisms is illustrated by examples including a file system. Finally, the relationships between the mechanisms, access validation, and the safety problem are discussed.",10.1109/TSE.1979.234148,IEEE Transactions on Software Engineering,"Access control,Computer languages,Permission,Control systems,File systems,Safety,Proposals,Computer science,Power system reliability,Timing","G. R. Andrews and J. R. McGraw, ""Language features for process interaction"", Proc. ACM Conf. on Language Design for Reliable Software Sigplan Notices, vol. 12, no. 3, pp. 114-127, 1977-Mar.||P. Brinch Hansen, ""The programming language Concurrent Pascal"", IEEE Trans. Software Eng., vol. SE-1, pp. 199-207, June 1975.||M. A. Harrison, W. L. Ruzzo and J. D. Ullman, ""Protection in operating systems"", Commun. Ass. Comput. Mach., vol. 19, pp. 461-471, Aug. 1976.||C. A. R. Hoare, ""Monitors: An operating system structuring concept"", Commun. Ass. Comput. Mach., vol. 17, pp. 549-557, Oct. 1974.||A. K. Jones and B. H. Liskov, ""A language extension for controlling access to shared data"", IEEE Trans. Software Eng., vol. SE-2, pp. 277-285, Oct. 1976.||R. B. Keiburtz and A. Silberschatz, ""Capability managers"", IEEE Trans. Software Eng., vol. SE-4, pp. 467-477, Nov. 1978.||B. W. Lampson, ""Report on the programming language Euclid"", Sigplan Notices, vol. 12, no. 2, Feb. 1977.||G. J. Popek and D. Farber, ""A model for verification of security in operating systems"", Commun. Ass. Comput. Mach..||D. M. Ritchie and K. Thompson, ""The Unix time-sharing system"", Commun. Ass. Comput. Mach., vol. 17, pp. 365-375, July 1974.||A. Silberschatz, R. B. Kieburtz and A. Bernstein, ""Extending Concurrent Pascal to allow dynamic resource management"", IEEE Trans. Software Eng., vol. SE-3, pp. 210-217, May 1977.||N. Wirth, ""The programming language Pascal"", Acta Informatica, vol. 1, pp. 35-63, 1971.||N. Wirth, ""Modula: A language for modular multiprogramming"", Software-Practice and Experience, vol. 7, pp. 3-35, Jan. 1977.||W. Wulf, ""Hydra: The kernel of a multiprocessor operating system"", Commun. Ass. Comput. Mach., vol. 17, pp. 337-345, June 1974.||",Access Control in Parallel Programs
"R. Snodgrass&&Department of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA|","This paper describes Cola, an object-oriented command language for Hydra; Hydra is a capability-based operating system that runs on C.mmp, a tightly coupled multiprocessor. The two primary aspects of Cola, that it is a command language for Hydra, and that it is based on the object paradigm, are examined. Cola was designed to effect a correspondence between capabilities in Hydra and objects that are supported by the language. Cola is based on Smalltalk in that it uses message-passing as a control structure to allow syntactic freedom in the expression of commands to the system. Cola objects are arranged in a hierarchy, and the message-passing mechanism was designed to exploit this structure by automatically forwarding an unanswered message up the hierarchy. Two ramifications of this mechanism, automatic inheritance and shadowing, are discussed. An evaluation of the design decisions is also given.",10.1109/TSE.1983.236163,IEEE Transactions on Software Engineering,"Command languages,Operating systems,Assembly,Control systems,Hardware,Computer science,Computer languages,Automatic control,Shadow mapping,Knowledge representation","G. Almes and G. Robertson, An extensible file system for Hydra, Dep. Comput. Sci., Carnegie-Mellon Univ., Feb. 1978.||P. Alsberg, OSL/2: An operating system language, 1971.||G. M. Birtwistle, O.-J. Dahl, B. Myhrtag and K. Nygaard, Simula Begin, PA, Philadelphia:Auerbach, 1973.||D. G. Bobrow and T. Winograd, ""An overview of KRL: A knowledge representation language"", Xerox PARC, July 1976.||S. R. Bourne, ""The Unix shell"", Bell Syst. Tech. J., vol. 57, pp. 1971-1990, July-Aug. 1978.||R. F. Brunt and D. E. Tuffs, ""A user-oriented approach to control languages"", Software–Practice and Experience, vol. 6, pp. 93-108, 1976.||E. Cohen and D. Jefferson, ""Protection in the Hydra Operating System"", Proc. 5th Symp. Operating Syst. Principles, pp. 141-160, 1975-Nov.||Hydra kernel reference manual, Nov. 1976.||R. M. Cowan, ""Burroughs B6700/B7700 work flow language"" in Command Languages, North-Holland, pp. 153-171, 1975.||J. R. Ellis, ""A LISP shell"", SIGPlan Notices, vol. 15, pp. 24-34, May 1980.||S. E. Fahlman, Netl: A System for Representing and Using Real‑World Knowledge, MA, Cambridge:M.I.T. Press, 1979.||P. H. Feiler and R. Medina-Mora, An incremental programming environment, Dep. Comput. Sci., Carnegie-Mellon Univ., Apr. 1980.||Smalltalk-72 Instruction Manual, 1978.||A. Goldberg and D. Robson, ""A metaphor for user interface design"", Proc. 12th Hawaii Int. Conf. Syst. Sci., pp. 148-157, 1979.||I. Grief and C. Hewitt, ""Actor semantics of PLANNER-73"", Proc. 2nd Conf. Principle of Programming Languages, 1975-Jan.||A. N. Habermann, An overview of the Gandalf project, Dep. Comput. Sci., Carnegie-Mellon Univ., pp. 1978-1979, 1980.||C. Hewitt, ""Viewing control structures as patterns of passing messages"", Artificial Intell., vol. 8, pp. 323-364, 1977.||IBM Virtual Machine Facility/370: CMS Command and Macro Reference Manual, 1980.||D. Ingalls, ""The Smalltalk-76 programming system: Design and implementation"", Proc. 5th Conf. Principles of Programming Languages, pp. 9-16, 1978-Jan.||A. K. Jones, ""The narrowing gap between language systems and operating systems"", Proc. IFIP Conf., 1977.||A. K. Jones, R. Chansler, I. Durham, K. Schwans and S. Vegdahl, ""StarOS: A multiprocessor operating system for the support of task forces"", Proc. 7th Symp. Oper. Syst. Principles, pp. 117-127, 1979-Dec.||A. C. Kay and A. Goldberg, ""Personal dynamic media"", IEEE Computer, vol. 10, pp. 31-41, Mar. 1977.||A. C. Kay, personal communication.||B. W. Kernighan and J. R. Mashey, ""The Unix programming environment"", Sofware–Practice and Experience, vol. 9, pp. 1-15, 1979.||B. W. Lampson, J. J. Horning, R. L. Lampson, J. G. Mitchell and G. L. Popek, Report on the programming language Euclid, vol. 12, Feb. 1977.||B. W. Lampson and R. Sproull, ""An open operating system for a single-user machine"", Proc. 7th Symp. Operating Syst. Principles, pp. 98-105, 1979-Dec.||H. C. Lauer and R. M. Needham, ""On the duality of operating system structures"", Proc. 2nd Int. Symp. Operating Sys., 1979-Oct.||Oper. Syst. Rev., vol. 13, pp. 3-19, Apr. 1979.||S. Lauesen, ""Program control of operating systems"", BIT, vol. 13, pp. 323-337, 1973.||J. Levine, ""Why a Lisp-based command language?"", SIGPLAN Notices, vol. 15, pp. 49-53, May 1980.||B. Liskov, A. Snyder, R. Atkinson and C. Schaffert, ""Abstraction mechanisms in CLU"", Commun. Ass. Comput. Mach., vol. 8, pp. 564-576, Aug. 1977.||G. H. Mealy, ""The functional structure of OS/360"", IBM Syst. J., vol. 5, no. 2, 1966.||M. Minsky, ""A framework for representing knowledge"" in The Psychology of Computer Vision, New York:McGraw-Hill, pp. 211-277, 1975.||M. D. Ostreicher, M. J. Bailey and J. I. Strauss, ""GEORGE 3–A general purpose timesharing and operating system"", Commun. Ass. Comput. Mach., vol. 10, pp. 685-693, Nov. 1967.||J. Ousterhout, D. Scelza and P. Sindu, ""Medusa: An experiment in distributed operating system structure"", Commun. Ass. Comput. Mach., vol. 23, pp. 92-104, Feb. 1980.||D. Redell, Y. Dalal, T. Horsley, H. Lauer, W. Lynch, P. McJones, et al., ""Pilot: All operating system for a personal computer"", Commun. Ass. Comput. Mach., vol. 23, pp. 80-91, Feb. 1980.||L. G. Reid, Control and communication in programmed systems, Sept. 1980.||The Hydra Users Manual, 1977.||E. Sandewall, ""Programming in the interactive environment: The LISP experience"", Comput. Surveys, vol. 10, pp. 35-72, Mar. 1978.||M. Shaw, ""The impact of abstraction concerns on modern programming languages"", Proc. IEEE, vol. 68, 1980-Sept.||J. F. Shoch, ""An overview of the programming language Smalltalk-72"", SIGPLAN Notices, vol. 14, pp. 64-73, Sept. 1979.||D. Smith, Pygmalion: A creative programming environment, June 1975.||T. Teitelbaum, The Cornell program synthesizer: A microcomputer inplementation of PL/CS, Cornell Univ., July 1979.||INTERLISP Reference Manual, 1978.||S. Treu, ""Interactive command language design based on required mental work"", Int. J. Man-Machine Studies, vol. 7, pp. 135-149, 1975.||S. Warren and D. Abbe, ""Rosetta Smalltalk: A conversational extensible microcomputer language"", Proc. 2nd Symp. Small Syst., 1979-Oct.||M. V. Wilkes and R. M. Needham, The Cambridge CAP Computer and Its Operating System, New York:Elsevier North-Holland, 1979.||T. Winograd, ""Breaking the complexity barrier (again)"", SIGPLAN Notices, vol. 10, pp. 13-30, Jan. 1975.||W. A. Wulf and C. G. Bell, ""C.mmp–A multi-mini-processor"", Proc. 1972 Fall Joint Comput. Conf., pp. 765-777.||W. A. Wulf, R. K. Johnsson, C. B. Weinstock, S. D. Hobbs and C. M. Geschke, The Design of an Optimizing Compiler, New York:Elsevier North-Holland, 1975.||W. A. Wulf, R. London and M. Shaw, Abstraction and verification in Alphard: Introduction to language and methodology, Dep. Comput. Sci., Carnegie-Mellon Univ., June 1976.||W. A. Wulf, R. Levin and S. P. Harbison, C.mmp/Hydra: An Experimental Computer System, New York:McGraw-Hill, 1981.||A. Yonezawa and C. Hewitt, ""Modeling distributed systems"", Proc. 5th Int. Joint Conf. Artificial Intell., pp. 370-376, 1977-Aug.||",An Object-Oriented Command Language
"E. Gelenbe&&Département de Mathématiques, Université Paris-Nord, Villetaneuse, France|A. Kurinckx&&I.R.I.A.-Laboria, Le Chesnay, France|","We propose a new method for the control of a multiprogrammed virtual memory computer system. A mathematical model solved by decomposition permits us to justify that the method avoids thrashing. Simulation experiments are used to test the robustness of the predictions of the mathematical model when certain simplifying assumptions are relaxed and when a slightly simpler control technique based on the same principle is used. Comparisons are given with the case where an ""optimal"" control is used and with that with no control. We also provide a simulation evaluating the estimators used in an implementation of the control, as well as the responsiveness of the controlled system to transients in the workload.",10.1109/TSE.1978.231462,IEEE Transactions on Software Engineering,"Control systems,Throughput,Mathematical model,Predictive models,Optimal control,Computational modeling,Delay,Testing,Robust control,Control system synthesis","L. Belady and C. J. Kuehner, ""Dynamic space sharing in computer systems"", Commun. Ass. Comput. Mach., vol. 12, pp. 282-288, May 1969.||P. Denning, ""Thrashing: Its causes and prevention"", 1968 Fall Joint Comput. Conf AFIPS Conf Proc., pp. 915-922, 1968.||P. J. Courtois, On the near complete decomposability of networks of queues and of stochastic models of multiprogramming systems, Nov. 1971.||P. J. Courtois, ""Decomposability instabilities and saturation in multiprogramming systems"", Commun. Ass. Comput. Mach., vol. 18, pp. 371-377, July 1975.||P. J. Courtois, ""Error analysis in nearly completely decomposable stochastic systems"", Econometrica, vol. 43, pp. 691-709, July 1975.||A. Brandwajn, J. Buzen, E. Gelenbe and D. Potier, ""A model of performance for virtual memory systems"", Proc. ACM‑SIGMETRICS Symp., 1974-Sept.||IEEE Trans. Software Eng..||M. Badel, E. Gelenbe, J. Leroudier and D. Potier, ""Adaptive optimization of a time-sharing system's performance"", Proc. IEEE (Special Issue on Interactive Computer Systems), vol. 63, pp. 958-965, 1975-June.||P. J. Denning and G. S. Graham, ""Multiprogrammed memory management"", Proc. IEEE (Special Issue on Interactive Computer Systems), vol. 63, pp. 924-939, 1975-June.||P. J. Denning and G. S. Graham, ""Multiprogramming and program behavior"", Proc. ACM‑SIGMETRICS Symp., 1974-Sept.||J. Leroudier and D. Potier, ""Principles of optimality for multiprogramming"", 1976 Int. Symp. on Computer Performance Modelling Measurements Evaluation, 1976-Mar.-19.||E. Gelenbe and R. R. Muntz, ""Exact and approximate solutions to probabilistic models of computer system behavior—Part I"", Acta Informatica, vol. 7, pp. 35-60, 1976.||J. Leroudier and M. Parent, ""Quelques aspects de la modélisation des systèmes informatiques par simulation a evenements discrets"", RAIRO Informatique, vol. 10, pp. 5-26, Jan. 1976.||R. W. Conway, ""Some tactical problems in digital simulation"", Management Sci., vol. 10, Oct. 1963.||P. Le Gall, ""Convergence des simulations et application aux réseaux téléphoniques"", AFIRO Monographies de Recherche Opérationnelle, vol. 7, 1968.||",Random Injection Control of Multiprogramming in Virtual Memory
"K.L. Heninger&&Naval Research Laboratory, Inc., Washington D.C., USA|","This paper concerns new techniques for making requirements specifications precise, concise, unambiguous, and easy to check for completeness and consistency. The techniques are well-suited for complex real-time software systems; they were developed to document the requirements of existing flight software for the Navy's A-7 aircraft. The paper outlines the information that belongs in a requirements document and discusses the objectives behind the techniques. Each technique is described and illustrated with examples from the A-7 document. The purpose of the paper is to introduce the A-7 document as a model of a disciplined approach to requirements specification; the document is available to anyone who wishes to see a fully worked-out example of the approach.",10.1109/TSE.1980.230208,IEEE Transactions on Software Engineering,"Application software,Documentation,Real time systems,Software systems,Military aircraft,Software maintenance,Software engineering,Formal specifications,Laboratories,Weapons","P. Brinch Hansen, Operating Systems Principles, NJ, Englewood Cliffs:Prentice-Hall, 1973.||E. W. Dijkstra, ""Co-operating sequential processes"" in Programming Languages, New York:Academic, pp. 43-112, 1968.||E. W. Dijkstra, A Discipline of Programming, NJ, Englewood Cliffs:Prentice-Hall, 1977.||J. V. Guttag, ""Abstract data types and the development of data structures"", Commun. Ass. Comput. Mach., vol. 20, pp. 396-404, June 1976.||K. Heninger, J. Kallander, D. L. Parnas and J. Shore, Software Requirements for the A-7E Aircraft, Nov. 1978.||C. A. R. Hoare, ""Monitors: An operating system structuring concept"", Commun. Ass. Comput. Mach., vol. 17, pp. 549-557, Oct. 1974.||J. Howard, ""Proving monitors"", Commun. Ass. Comput. Mach., vol. 19, pp. 273-279, May 1976.||R. Lipton, On Synchronization Primitive Systems, 1973.||B. Liskov and S. Zilles, ""Specification techniques for data abstractions"", IEEE Trans. Software Eng., vol. SE-1, pp. 7-19, Mar. 1975.||B. Liskov and V. Berzins, ""An appraisal of program specifications"", Proc. Conf. on Research Directions in Software Technology, pp. 13.1-13.24, 1977-Oct.-10-12.||D. L. Parnas, ""Information distribution aspects of design methodology"", Proc. Int. Fed. Inform. Processing Congr., vol. TA-3, 1971-Aug.||D. L. Parnas, ""On the criteria to be used in decomposing systems into modules"", Commun. Ass. Comput. Mach., vol. 15, pp. 1053-1058, Dec. 1972.||D. L. Parnas and G. Handzel, More on Specification Techniques for Software Modules, W. Germany, Darmstadt:Fachbereich Informatik, Technische Hochschule Darmstadt, 1975.||D. L. Parnas and H. Wurges, ""Response to undesired events in software systems"", Proc. 2nd Int. Conf Software Eng., pp. 437-446, 1976.||D. L. Parnas, Use of Abstract Interfaces in the Development of Software for Embedded Computer Systems, 1977.||D. L. Parnas, ""use of precise specifications in the development of software"", Proc. Int. Fed. Inform. Processing Congr., 1977.||D. L. Parnas, ""Designing software for ease of extension and contraction"", Proc. 3rd Int. Conf. Software Eng., 1978-May.||D. L. Parnas and K. Heninger, ""Implementing processes in HAS"" in Software Engineering Principles, DC, Washington:Naval Res. Lab., 1978.||D. L. Parnas, ""Desired system behavior in undesired situations"" in Software Engineering Principles, DC, Washington:Naval Res. Lab., 1978.||O. Roubine and L. Robinson, SPECIAL Reference Manual, 1977.||A. C. Shaw, The Logical Design of Operating Systems, NJ, Englewood Cliffs:Prentice-Hall, 1974.||D. M. Weiss, The MUDD Report: A Case Study of Navy Software Development Practices, 1975.||",Specifying Software Requirements for Complex Systems: New Techniques and Their Application
"D.L. Parnas&&Research Group on Operating Systems, Fachbereich Informatik, Technische Hochschule Darmstadt, Darmstadt, Germany|","Program families are defined (analogously to hardware families) as sets of programs whose common properties are so extensive that it is advantageous to study the common properties of the programs before analyzing individual members. The assumption that, if one is to develop a set of similar programs over a period of time, one should consider the set as a whole while developing the first three approaches to the development, is discussed. A conventional approach called ""sequential development"" is compared to ""stepwise refinement"" and ""specification of information hiding modules."" A more detailed comparison of the two methods is then made. By means of several examples it is demonstrated that the two methods are based on the same concepts but bring complementary advantages.",10.1109/TSE.1976.233797,IEEE Transactions on Software Engineering,"Hardware,Manufacturing,Algorithm design and analysis,Production,Software maintenance,Programming profession,Costs,Software design,Software engineering,Operating systems","D. L. Parnas, ""Some conclusions from an experiment in software engineering techniques"", 1972 Fall Joint Computer Conf. AFIPS Conf. Proc., vol. 41, pp. 325-329, 1972.||H. Mills, ""Mathematical foundations of structured programming"", IBM Federal Systems Div. No. FSC72-6012, pp. 1-62, Feb. 1972.||E. W. Dijkstra, ""Structured programming"" in Software Engineering Techniques, Belgium, Brussels:NATO Scientific Affairs Division, pp. 84-87, 1970.||N. Wirth, ""Program development by stepwise refinement"", Commun. ACM, vol. 14, pp. 221-227, Apr. 1971.||W. A. Wulf, ""The GOTO controversy: A case against the GOTO"", SIGPLAN Notices, vol. 7, pp. 63-69, Nov. 1972.||C. A. R. Hoare, ""Monitors: An operating system structuring concept"", Commun. ACM, vol. 17, pp. 549-557, Oct. 1974.||E. W. Dijkstra, ""On the axiomatic definition of semantics"", EWD 367.||D. L. Parnas, ""On the criteria used in decomposing systems into modules"", Commun. ACM, vol. 15, pp. 1053-1058, Dec. 1972.||D. L. Parnas, ""A technique for software module specification with examples"", Commun. ACM, pp. 330-336, May 1972.||P. Naur, ""Programming by action clusters"", BIT, vol. 9, pp. 250-258, 1969.||P. Henderson and R. Snowdon, ""An experiment in structured programming"", BIT, vol. 12, pp. 38-53, 1972.||D. L. Parnas, ""A course on software engineering techniques"", Proc. ACM SIGCSE, 1972-Mar.-24-25.||E. W. Dijkstra, ""Co-operating sequential processes"" in Programming Languages, New York:Academic Press, pp. 43-112, 1968.||W. R. Price, Implications of a virtual memory mechanism for implementing protection in a family of operating systems, 1973.||B. Randell and F. W. Zurcher, ""Iterative multi-level modelling—A methodology for computer system design"", Proc. IFIP Congr., 1968.||D. L. Parnas, ""On a 'buzzword' hierarchical structure"", Proc. IFIP Congr., pp. 336-339, 1974.||",On the Design and Development of Program Families
"D.T. Ross&&SofTech, Inc.orporated, Waltham, MA, USA|K.E. Schoman&&SofTech, Inc.orporated, Waltham, MA, USA|","Requirements definition encompasses all aspects of system development prior to actual system design. We see the lack of an adequate approach to requirements definition as the source of major difficulties in current systems worlk This paper examines the needs for requirements definition, and proposes meeting those objectives with three interrelated subjects: context analysis, functional specification, and design constraints. Requirements definition replaces the widely used, but never well-defined, term ""requirements analysis.""",10.1109/TSE.1977.229899,IEEE Transactions on Software Engineering,"Production systems,Failure analysis,Hardware,System analysis and design,Pulp manufacturing,Documentation,Personnel,Assembly systems,Environmental management,Engineering management","B. W. Boehm, ""Software and its impact: A quantitative assessment"", Datamation, pp. 48-59, May 1973.||P. Hirsch, ""GAO hits Wimmix hard: FY'72 funding prospects fading fast"", Datamation, pp. 41, Mar. 1971.||An Introduction to SADT™, MA, Waltham:SofTech, Inc., Feb. 1976.||D. T. Ross, J. B. Goodenough and C. A. Irvine, ""Software engineering: Process principles and goals"", Computer, pp. 17-27, May 1975.||AirForce Computer-Aided Manufacturing (AFCAM) Master Plan, vol. II, July 1974.||TRAIDEX Needs and Implementation Study, May 1976.||B. W. Boehm, ""Software design and structure"" in Practical Strategies for Developing Large Software Systems, MA:Addison-Wesley, pp. 115-122, 1975.||R. V. Head, ""Automated system analysis"", Datamation, pp. 22-24, Aug. 1971.||J. T. Rigo, ""How to prepare functional specifications"", Datamation, pp. 78-80, May 1974.||D. Teichroew and H. Sayani, ""Automation of system building"", Datamation, pp. 25-30, Aug. 1971.||D. Teichroew and E. A. Hershey, PSL/PSA: A computer-aided technique for structured documentation and analysis of information processing systems, pp. 41-48.||F. M. Haney, ""What it takes to make MAC MIS and ABM fly"", Datamation, pp. 168-169, June 1974.||",Structured Analysis for Requirements Definition
"C. V. Ramamoorthy&&Computer Science Division, Electronics Research Laboratory,  Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, CA, USA|Siu-Bun F. Ho&&Computer Science Division, Electronics Research Laboratory,  Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, CA, USA|","In the past few years, research has been actively carried out in an attempt to improve the quality and reliability of large-scale software systems. Although progress has been made on the formal proof of program correctness, proving large-scale software systems correct by formal proof is still many years away. Automated software tools have been found to be valuable in improving software reliability and attacking the high cost of software systems. This paper attempts to describe some main features of automated software tools and some software evaluation systems that are currently available.",10.1109/TSE.1975.6312819,IEEE Transactions on Software Engineering,"Testing,Software systems,Debugging,Software reliability,System analysis and design",,Testing large software with automated software evaluation systems
